Words,人,自分,友達,家族,映画館,車,日本,旅行,アルバイト,生活,学校,映画,家,スポーツ,好き,人間,ビデオ,運転,大学,社会,関係,子供,他,仕事,話,高校,一緒,部屋,日本人,卒業,一つ,お金,リカ,親,気,言葉,経験,事故,存在,場所,食,必要,勉強,電話,文化,サッカー,意味,様々,料理,OTHERS
akke0,0,1,2,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64
akke1,0,2,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75
akke2,8,3,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,91
akke3,3,4,2,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,58
akke4,0,4,2,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,73
akke5,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,60
akke6,3,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
akke7,11,6,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,80
akke8,2,1,3,0,12,0,0,0,0,1,0,6,2,0,4,0,4,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55
akke9,2,1,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,5,69
ataka0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,77
ataka1,3,6,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,68
ataka2,11,2,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,61
ataka3,1,2,0,0,0,0,1,0,0,2,9,0,0,0,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0,17,0,0,0,70
ataka4,3,3,0,0,0,0,6,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,121
ataka5,4,2,0,0,0,7,0,0,0,1,0,0,0,0,0,1,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,98
ataka6,0,0,2,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,108
ataka7,5,3,0,0,0,0,0,0,16,0,1,0,0,0,0,2,0,0,4,6,1,0,0,6,1,0,0,0,0,2,0,2,0,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0,65
ataka8,0,3,1,0,10,0,0,0,0,0,0,9,0,0,1,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,94
ataka9,2,4,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,91
kana0,0,0,0,0,0,1,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84
kana1,2,0,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
kana2,9,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,38
kana3,2,2,4,0,0,0,0,0,0,0,5,0,3,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57
kana4,2,0,4,0,0,0,1,0,0,0,1,0,1,7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,71
kana5,1,3,4,0,0,11,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,58
kana6,6,1,6,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41
kana7,24,1,5,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,78
kana8,4,0,0,1,20,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
kana9,0,1,1,0,0,0,1,0,4,0,0,0,2,0,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94
kato0,3,1,0,0,0,0,15,0,0,2,0,0,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,83
kato1,0,2,0,13,0,0,1,0,0,11,0,0,1,0,0,1,0,0,0,6,0,6,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,80
kato2,15,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
kato3,1,0,3,1,0,0,0,0,0,3,12,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,3,1,0,0,0,0,1,0,98
kato4,3,5,2,0,0,1,0,0,0,0,0,0,0,15,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,70
kato5,0,0,0,0,0,17,0,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,112
kato6,2,4,0,0,0,0,1,14,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86
kato7,1,5,0,0,0,0,0,1,18,4,0,0,0,0,1,2,0,0,1,8,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,1,0,40
kato8,1,1,0,0,14,0,0,0,0,0,0,5,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53
kato9,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,7,1,2,0,7,0,0,4,6,90
kumi0,10,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,3,0,1,0,0,0,0,0,1,0,76
kumi1,5,3,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,66
kumi2,10,4,16,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,2,2,1,0,1,0,0,1,5,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,2,0,0,54
kumi3,0,7,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,73
kumi4,8,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,59
kumi5,4,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,1,0,80
kumi6,1,2,0,0,0,0,0,19,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,59
kumi7,2,7,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,1,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71
kumi8,0,1,0,0,5,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,99
kumi9,0,5,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,3,1,0,0,3,0,0,1,5,79
mari0,8,11,1,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,78
mari1,1,8,1,9,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,6,0,0,0,1,0,1,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,67
mari2,2,6,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58
mari3,1,2,2,0,0,0,0,1,1,4,10,0,0,0,2,0,0,0,6,5,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,47
mari4,3,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,83
mari5,5,6,0,0,0,14,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,92
mari6,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,97
mari7,5,6,2,0,0,0,1,0,8,2,0,0,0,0,1,0,0,0,2,1,0,0,0,6,3,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,78
mari8,0,3,0,0,11,0,0,0,0,0,0,13,2,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60
mari9,2,0,0,0,0,0,8,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,7,0,0,1,0,121
nogu0,1,6,0,2,0,0,0,0,0,4,1,0,3,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,94
nogu1,1,4,0,17,0,0,0,2,0,5,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,87
nogu2,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0,0,2,2,0,0,0,0,2,0,0,1,1,2,0,0,2,0,0,2,0,3,0,0,0,0,0,119
nogu3,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,1,2,0,2,0,0,0,3,1,0,0,4,1,0,0,2,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,101
nogu4,4,4,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,96
nogu5,2,5,0,1,0,21,0,0,0,2,0,0,0,0,2,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,72
nogu6,6,3,0,0,0,0,0,11,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,86
nogu7,4,3,0,0,0,0,0,0,12,0,2,0,2,0,0,2,0,0,0,6,1,5,0,3,0,2,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,86
nogu8,1,5,0,0,12,0,0,0,0,0,0,9,1,0,0,0,14,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,76
nogu9,2,0,0,0,0,0,9,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,4,0,0,0,0,97
oota0,4,6,0,0,0,0,2,0,0,2,1,0,7,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,75
oota1,0,1,0,16,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,115
oota2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78
oota3,1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,86
oota4,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,116
oota5,5,1,0,0,0,15,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,88
oota6,0,0,0,0,0,8,0,2,0,0,0,0,0,0,2,0,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
oota7,0,1,0,0,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57
oota8,1,0,0,0,14,0,0,0,0,0,0,12,0,0,2,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94
oota9,2,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,3,7,79
ori0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85
ori1,5,0,1,11,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77
ori2,8,1,12,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86
ori3,2,0,2,0,0,0,0,0,0,5,3,0,1,0,0,2,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,91
ori4,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,114
ori5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,108
ori6,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,101
ori7,1,0,2,1,0,1,0,0,12,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,65
ori8,6,0,0,0,12,0,0,0,0,0,0,5,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
ori9,3,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,97
taka0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,3,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,118
taka1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,9,1,0,0,0,0,0,0,0,1,0,0,6,0,1,2,0,3,0,0,0,1,0,1,0,3,0,2,88
taka2,12,3,11,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,74
taka3,0,2,0,0,0,0,4,0,0,2,2,0,0,0,1,1,0,0,10,2,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,93
taka4,2,3,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,1,0,0,85
taka5,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,107
taka6,1,1,1,2,0,0,0,6,0,2,1,2,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,90
taka7,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,1,0,0,3,0,0,0,1,0,1,102
taka8,1,0,0,0,8,0,0,0,0,1,0,4,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
taka9,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,6,0,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,1,0,2,95
yuka0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,129
yuka1,0,0,0,2,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,102
yuka2,5,0,4,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,0,24,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,78
yuka3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
yuka4,1,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,121
yuka5,0,0,0,0,0,5,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,136
yuka6,0,0,0,0,0,0,4,9,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108
yuka7,1,1,1,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
yuka8,0,0,0,0,10,0,0,0,0,0,0,19,0,0,5,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
yuka9,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,4,2,0,0,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,98
