"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"å§ãÜ",-0.264,-0.034,-0.062,0.009,-0.02,-0.07,0.932,0.111,0.08,-0.057,0.05,-0.006,-0.055,-0.015,-0.047,-0.067,-0.062,-0.046,0.057,0.01,0.054,-0.012,-0.007,0.055,-0.047
"ëÂäw",-0.26,0.023,-0.084,0.082,0.03,-0.124,-0.032,-0.214,-0.49,0.406,-0.083,0.172,0.051,0.025,-0.258,-0.226,0.091,-0.339,0.124,-0.225,-0.08,0.128,-0.172,-0.084,-0.21
"é–âÔ",-0.233,0.156,0.142,0.163,0.14,0.045,-0.018,0.503,-0.2,-0.069,-0.35,-0.046,0.34,-0.279,0.177,0.335,0.083,0.112,0.127,-0.142,-0.108,0.007,-0.152,0.008,-0.049
"ã≥àÁ",-0.243,0.047,-0.129,0.171,0.184,-0.189,-0.113,0.015,-0.194,-0.085,-0.085,0.309,-0.266,0.198,0.311,0.139,-0.36,0.007,0.065,0.096,0.462,0.157,0.211,0.095,0.041
"ê¢äE",0.119,0.296,0.241,-0.12,0.454,-0.092,0.037,0.013,0.308,0.186,-0.208,0.205,-0.016,-0.213,0.207,-0.296,0.084,-0.383,-0.135,0.073,-0.017,-0.076,0.082,0.134,0.105
"çëç€",-0.222,0.157,0.112,-0.243,-0.216,-0.081,-0.103,0.153,0.178,-0.042,-0.233,-0.243,0.365,0.345,-0.153,-0.133,-0.137,-0.22,0.049,0.236,0.2,0.019,0.236,-0.262,-0.193
"äwê∂",-0.193,0.268,-0.13,0.11,0.192,-0.223,-0.164,0.209,0.167,-0.214,0.319,0.132,0.069,-0.003,-0.442,-0.153,0.079,0.166,-0.076,0.249,0.009,0.206,-0.306,0.223,-0.024
"êlçﬁ",-0.085,0.359,0.17,-0.278,-0.235,0.19,0.005,-0.042,-0.169,0.028,0.04,0.199,-0.235,-0.322,0.109,-0.182,-0.105,0.352,-0.109,0.161,0.08,-0.124,-0.077,-0.176,-0.398
"òAåg",-0.218,0.147,0.164,0.121,0.084,0.396,-0.004,-0.084,0.057,-0.098,0.457,0.029,-0.06,-0.026,0.127,0.248,0.298,-0.323,0.155,0.128,-0.012,0.26,0.139,-0.303,-0.01
"ñ{äw",-0.198,-0.076,-0.306,-0.26,-0.09,-0.218,-0.023,0.097,0.133,0.396,-0.077,-0.032,-0.145,-0.233,-0.07,0.344,0.286,0.056,-0.391,0.075,0.106,0.181,0.137,-0.157,0.129
"êÑêi",-0.236,0.014,-0.248,0.048,0.138,0.169,-0.097,-0.314,0.367,-0.039,-0.326,-0.006,-0.165,-0.164,-0.246,0.124,0.101,0.108,0.461,-0.004,0.022,-0.251,0.114,0.102,-0.178
"ím",0.022,-0.391,0.287,-0.022,0.006,0.258,-0.033,0.369,0.137,0.041,-0.122,0.479,-0.226,0.237,-0.306,0.115,0.036,-0.092,-0.124,-0.044,0.055,-0.124,-0.101,-0.055,-0.144
"ïœâª",-0.242,-0.012,-0.049,0.232,0.082,0.296,0.016,-0.193,-0.166,-0.372,-0.315,-0.076,-0.024,0.016,-0.115,-0.192,0.086,0.019,-0.591,0,-0.133,0.051,0.22,0.013,0.068
"àÁê¨",-0.249,-0.094,0.166,0.041,-0.025,-0.087,-0.073,0.081,-0.176,0.135,0.007,-0.352,-0.323,0.241,0.209,-0.017,0.296,-0.06,0.007,0.414,-0.114,-0.318,-0.146,0.314,-0.056
"ñ¢óà",0.076,0.213,-0.238,-0.495,0.071,0.384,0.063,0.03,-0.243,-0.051,-0.168,0.01,-0.083,0.139,-0.13,0.15,-0.162,-0.148,0.114,0.19,-0.094,0.09,-0.242,0.122,0.384
"çvå£",0.068,0.392,0.231,-0.075,0.194,-0.188,0.065,-0.144,-0.118,-0.092,0.121,-0.171,-0.116,0.179,-0.28,0.397,0.018,-0.032,-0.191,-0.357,0.194,-0.362,0.01,-0.039,-0.022
"äwñ‚",0.109,-0.084,-0.396,-0.045,0.59,0.179,0.031,0.177,-0.045,0.165,0.145,-0.158,0.074,0.214,0.122,-0.094,-0.054,0.167,-0.093,0.032,-0.052,-0.151,0.017,-0.295,-0.327
"ëgêD",-0.262,-0.086,0.03,0.006,-0.001,-0.006,-0.092,-0.179,0.324,0.014,0.018,-0.161,-0.078,-0.047,0.166,0.193,-0.515,-0.218,-0.235,-0.099,-0.228,0.086,-0.458,-0.033,-0.174
"â€ëË",-0.15,-0.324,0.186,-0.118,0.168,0.241,-0.02,-0.171,-0.122,0.168,0.216,-0.084,0.408,-0.287,-0.121,0.038,-0.146,0.016,-0.096,0.14,0.432,-0.135,0.01,0.297,0.05
"ã≠âª",-0.254,0.073,0.142,-0.077,0.034,0.018,-0.058,0.127,-0.014,0.256,0.223,0.066,-0.017,0.052,-0.132,0.021,-0.327,0.171,0.05,-0.087,-0.526,-0.042,0.517,0.183,0.125
"â¸äv",-0.05,-0.199,0.454,-0.22,0.345,-0.136,0.058,-0.193,-0.015,-0.016,-0.174,-0.183,-0.143,0.089,-0.066,-0.063,0.059,0.378,0.157,-0.006,-0.017,0.458,-0.078,-0.18,0.074
"äàìÆ",-0.222,0.008,-0.093,-0.386,-0.065,0.134,-0.081,0.048,0.132,-0.105,0.106,0.027,0.058,0.227,0.281,-0.152,0.276,0.06,-0.027,-0.536,0.108,0.144,-0.008,0.377,-0.148
"î≠ìW",0.088,0.321,0.068,0.402,-0.125,0.354,0.083,0,0.193,0.514,-0.108,-0.138,-0.004,0.252,-0.025,-0.031,-0.032,0.23,-0.065,-0.056,0.207,0.192,-0.112,0.122,0.098
"êEàı",-0.264,-0.047,-0.019,0.039,-0.005,0.07,-0.149,0.27,0.037,-0.016,0.102,-0.222,-0.258,-0.177,-0.047,-0.385,-0.092,-0.027,0.108,-0.275,0.207,-0.226,-0.103,-0.322,0.46
"OTHERS1",-0.265,0.023,0.01,-0.015,-0.016,-0.078,0.043,-0.285,0.095,0.05,0.01,0.4,0.343,0.28,0.204,0.029,0.135,0.253,-0.037,0.083,-0.107,-0.323,-0.21,-0.255,0.337
