,å§ãÜ,ëÂäw,é–âÔ,ã≥àÁ,ê¢äE,çëç€,äwê∂,êlçﬁ,òAåg,ñ{äw,êÑêi,ím,ïœâª,àÁê¨,ñ¢óà,çvå£,äwñ‚,ëgêD,â€ëË,ã≠âª,â¸äv,äàìÆ,î≠ìW,êEàı,OTHERS1
å§ãÜ,1,0.985,0.813,0.926,-0.537,0.786,0.706,0.219,0.737,0.809,0.906,-0.084,0.894,0.917,-0.306,-0.35,-0.347,0.98,0.559,0.904,0.137,0.828,-0.401,0.988,0.985
ëÂäw,0.985,1,0.861,0.973,-0.456,0.772,0.808,0.245,0.759,0.768,0.918,-0.217,0.903,0.878,-0.308,-0.248,-0.325,0.944,0.437,0.894,0.049,0.766,-0.284,0.966,0.978
é–âÔ,0.813,0.861,1,0.848,-0.058,0.785,0.827,0.5,0.946,0.381,0.727,-0.242,0.853,0.819,-0.306,0.149,-0.499,0.809,0.327,0.924,0.175,0.584,0.081,0.838,0.882
ã≥àÁ,0.926,0.973,0.848,1,-0.37,0.655,0.865,0.154,0.713,0.707,0.913,-0.307,0.883,0.793,-0.323,-0.19,-0.185,0.868,0.336,0.814,-0.018,0.648,-0.21,0.901,0.914
ê¢äE,-0.537,-0.456,-0.058,-0.37,1,-0.121,0.037,0.405,-0.072,-0.609,-0.503,-0.323,-0.489,-0.451,0.373,0.922,0.064,-0.538,-0.493,-0.202,0.153,-0.381,0.469,-0.536,-0.406
çëç€,0.786,0.772,0.785,0.655,-0.121,1,0.686,0.737,0.746,0.614,0.612,-0.275,0.597,0.755,0.017,0.147,-0.642,0.763,0.29,0.917,0.18,0.843,-0.189,0.767,0.865
äwê∂,0.706,0.808,0.827,0.865,0.037,0.686,1,0.486,0.687,0.522,0.752,-0.699,0.667,0.518,-0.006,0.276,-0.189,0.595,-0.097,0.718,-0.228,0.536,0.13,0.66,0.753
êlçﬁ,0.219,0.245,0.5,0.154,0.405,0.737,0.486,1,0.563,0.083,0.159,-0.5,0.157,0.19,0.438,0.645,-0.542,0.18,-0.222,0.524,-0.053,0.459,0.348,0.221,0.359
òAåg,0.737,0.759,0.946,0.713,-0.072,0.746,0.687,0.563,1,0.288,0.697,-0.131,0.86,0.755,-0.175,0.104,-0.477,0.758,0.386,0.886,0.161,0.601,0.164,0.8,0.806
ñ{äw,0.809,0.768,0.381,0.707,-0.609,0.614,0.522,0.083,0.288,1,0.799,-0.199,0.555,0.586,0.067,-0.473,-0.004,0.732,0.375,0.591,-0.079,0.855,-0.65,0.739,0.745
êÑêi,0.906,0.918,0.727,0.913,-0.503,0.612,0.752,0.159,0.697,0.799,1,-0.261,0.906,0.697,-0.059,-0.364,0,0.843,0.396,0.752,-0.146,0.779,-0.255,0.9,0.863
ím,-0.084,-0.217,-0.242,-0.307,-0.323,-0.275,-0.699,-0.5,-0.131,-0.199,-0.261,1,-0.041,0.205,-0.455,-0.544,-0.084,0.097,0.746,-0.093,0.688,-0.115,-0.449,0,-0.132
ïœâª,0.894,0.903,0.853,0.883,-0.489,0.597,0.667,0.157,0.86,0.555,0.906,-0.041,1,0.825,-0.346,-0.344,-0.244,0.892,0.525,0.816,0.026,0.637,-0.091,0.936,0.875
àÁê¨,0.917,0.878,0.819,0.793,-0.451,0.755,0.518,0.19,0.755,0.586,0.697,0.205,0.825,1,-0.533,-0.302,-0.558,0.969,0.724,0.916,0.454,0.698,-0.411,0.936,0.93
ñ¢óà,-0.306,-0.308,-0.306,-0.323,0.373,0.017,-0.006,0.438,-0.175,0.067,-0.059,-0.455,-0.346,-0.533,1,0.334,0.427,-0.393,-0.418,-0.218,-0.372,0.201,0.117,-0.33,-0.281
çvå£,-0.35,-0.248,0.149,-0.19,0.922,0.147,0.276,0.645,0.104,-0.473,-0.364,-0.544,-0.344,-0.302,0.334,1,-0.207,-0.388,-0.606,-0.007,-0.008,-0.24,0.584,-0.367,-0.197
äwñ‚,-0.347,-0.325,-0.499,-0.185,0.064,-0.642,-0.189,-0.542,-0.477,-0.004,0,-0.084,-0.244,-0.558,0.427,-0.207,1,-0.405,-0.168,-0.546,-0.296,-0.233,-0.117,-0.364,-0.448
ëgêD,0.98,0.944,0.809,0.868,-0.538,0.763,0.595,0.18,0.758,0.732,0.843,0.097,0.892,0.969,-0.393,-0.388,-0.405,1,0.695,0.917,0.299,0.803,-0.444,0.99,0.97
â€ëË,0.559,0.437,0.327,0.336,-0.493,0.29,-0.097,-0.222,0.386,0.375,0.396,0.746,0.525,0.724,-0.418,-0.606,-0.168,0.695,1,0.524,0.714,0.506,-0.674,0.623,0.518
ã≠âª,0.904,0.894,0.924,0.814,-0.202,0.917,0.718,0.524,0.886,0.591,0.752,-0.093,0.816,0.916,-0.218,-0.007,-0.546,0.917,0.524,1,0.327,0.813,-0.233,0.917,0.961
â¸äv,0.137,0.049,0.175,-0.018,0.153,0.18,-0.228,-0.053,0.161,-0.079,-0.146,0.688,0.026,0.454,-0.372,-0.008,-0.296,0.299,0.714,0.327,1,0.146,-0.51,0.18,0.186
äàìÆ,0.828,0.766,0.584,0.648,-0.381,0.843,0.536,0.459,0.601,0.855,0.779,-0.115,0.637,0.698,0.201,-0.24,-0.233,0.803,0.506,0.813,0.146,1,-0.51,0.812,0.832
î≠ìW,-0.401,-0.284,0.081,-0.21,0.469,-0.189,0.13,0.348,0.164,-0.65,-0.255,-0.449,-0.091,-0.411,0.117,0.584,-0.117,-0.444,-0.674,-0.233,-0.51,-0.51,1,-0.354,-0.324
êEàı,0.988,0.966,0.838,0.901,-0.536,0.767,0.66,0.221,0.8,0.739,0.9,0,0.936,0.936,-0.33,-0.367,-0.364,0.99,0.623,0.917,0.18,0.812,-0.354,1,0.976
OTHERS1,0.985,0.978,0.882,0.914,-0.406,0.865,0.753,0.359,0.806,0.745,0.863,-0.132,0.875,0.93,-0.281,-0.197,-0.448,0.97,0.518,0.961,0.186,0.832,-0.324,0.976,1
